ID,Name,Short Name,AICTE Code,EAMCET Code,L4G Code,L4G Group Code,Type,Address,Website,LatLong,District
188,Kakatiya Institute of Technology & Science,,,KITSW,C079,,Unknown,,https://www.kitsw.ac.in/,,Warangal
189,Kakatiya Institute of Technology & Science for Women,,,KITW,C268,,Unknown,,https://kitw.ac.in/,,Nizamabad
190,Kakinada Institute of Engineering and Technology,,,KIET,C012,,Unknown,,https://www.kietgroup.com/,,West Godavari
191,Kakinada Institute of Engineering and Technology for Women,,,KIEW,C014,,Unknown,,https://www.kietgroup.com/kietw/index.html,,East Godavari
192,Kakinada Institute of Engineering and Technology-II,,,KIEK,C013,,Unknown,,https://www.kietgroup.com/KIET2/index.html,,East Godavari
193,Kakinada Institute of Technology and Science,,,KISR,C143,,Unknown,,http://www.kitsdivili.ac.in/,,East Godavari
194,Kalasalingam University,,,,C321,,Unknown,,https://www.kalasalingam.ac.in/,,Virudhunagar
195,Kalinga University,,,,C387,,Unknown,,,,Unknown
196,Kallam Harinadh Reddy Institute of Technology,,,KHIT,C233,,Unknown,,https://khitguntur.ac.in/,,Guntur
197,Kamala Institute of Technology & Science,,,KTKM,C271,,Unknown,,https://www.kitssingapuram.ac.in/,,Karimnagar
198,Keshav Memorial Institute of Technology,,,KMIT,C141,,Unknown,,https://www.kmit.in/,,Hyderabad
199,KG Reddy College of Engineering & Technology,,,KGRH,C258,,Unknown,,https://kgr.ac.in/,,Rangareddy
200,Khammam Institute of Technology & Sciences,,,KMTS,C273,,Unknown,,,,Khammam
201,KIET Group of Institutions,,,,C506,,Unknown,,https://www.kiet.edu/overview,,Ghaziabad
202,KKR & KSR Institute of Technology & Sciences,,,KITS,C046,,Unknown,,https://www.kitsguntur.ac.in/,,Guntur
203,KL Business School,,,,C441,,Unknown,,https://www.kluniversity.in/mba/,,Guntur
204,KL College of Pharmacy,,,,C440,,Unknown,,https://www.kluniversity.in/pharmacy/,,Guntur
205,KL Hyderabad,,,,C449,,Unknown,,kluniversity.in,,Rangareddy
207,KLE Society's S. Nijalingappa College,,,,C433,,Unknown,,https://klesnc.edu.in/,,Bangalore
208,Kodada Institute of Technology & Science For Women,,,KDDW,C286,,Unknown,,http://kitskodad.in/,,Nalgonda
209,Kommuri Pratap Reddy Institute of Technology,,,KPRT,C247,,Unknown,,https://www.kpritech.ac.in/,,Medchal
210,Koringa College of Pharmacy,,,KCPT,C083,,Unknown,,https://koringacollegeofpharmacy.co.in/wp/,,East Godavari
211,Krishna University,,,,C292,,Unknown,,https://kru.ac.in/,,Krishna
212,Krupanidhi Group of Institutions,,,,C477,,Unknown,,https://krupanidhi.edu.in/,,Bangalore
213,Kshatriya College of Engineering,,,KCEA,C277,,Unknown,,https://www.kcea.in/,,Nizamabad
