Sno,EAMCET-Code,AICTE,CollegeName,L4G College Code,L4G Group code,"Autonomy(PrivateUniversity, PublicUniversity, Autonomous,Affiliated)",Type,type_code,CountryCode,state_code,State (),district_code,District,PIN code,Nearest City,Urban/SemiUrban/Rural,Website,Full Address,LatLong,rollno_code,is_deleted,,
,,,Dhanalakshmi Srinivasan University,C494,,Private University,,,,33,Tamil Nadu,614,Tiruchirappalli,,,,https://www.dsuniversity.ac.in/,,,,,,
9,DHAN,,Dhanekula Institute of Engineering and Technology,C009,,Affiliated,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,547,Krishna,,,,https://diet.ac.in/,,,,,,
120,DNRE,,DNR College of Engineering and Technology,C120,,Autonomous,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,546,West Godavari,,,,https://dnrcet.org/web/,,,,,,
,,,Dr. Ambedkar Institute Of Technology,C399,,Autonomous,,,,29,Karnataka,572,Bangalore,,,,drait.edu.in,,,,,,
,,,"Dr. D. Y. Patil Institute of Technology, Pimpri",C403,,Affiliated,,,,27,Maharashtra,521,Pimpri Chinchwad,,,,https://engg.dypvp.edu.in/,,,,,,
,,,"Dr. Lankapalli Bullayya College
",C422,,Autonomous,,,,28,Andhra Pradesh,544,Visakhapatnam,,,,bullayya.ac.in,,,,,,
,,,Dr. Paul Raj Engineering College,C464,,,,,,28,Andhra Pradesh,545,East Godavari,,,,dprec.ac.in,,,,,,
84,BRAUSF,,Dr.B.R.Ambedkar Open University ,C084,,University,ENGINEERING_COLLEGE,,,36,Telangana,536,Ranga Reddy,,,,https://www.braou.ac.in/#gsc.tab=0,,,,,,
122,KVSR,,Dr.K.V. Subba Reddy Institute of Technology,C122,,Autonomous,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,552,Kurnool,,,,https://drkvsrit.ac.in/index.html,,,,,,
121,KVSW,,Ashoka Women's Engineering College (Dr.K.V. Subba Reddy Institute of Technology -for Women),C121,,Autonomous,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,552,Kurnool,,,,,,,,,,
,,,Dr.YSR Architecture and Fine Arts University,C338,,University,,,,28,Andhra Pradesh,551,Kadapa,,,,https://www.ysrafu.ac.in/,,,,,,
,,,East Point College of Engineering & Technology,C429,,Affiliated,,,,29,Karnataka,572,Bangalore,,,,https://www.eastpoint.ac.in/,,,,,,
,,,Echelon Institute Of Technology,C475,,Affiliated,,,,6,Haryana,88,Faridabad,,,,https://eitfaridabad.com/,,,,,,
123,ELEN,,Ellenki College of Engineering & Technology,C123,,Autonomous,ENGINEERING_COLLEGE,,,36,Telangana,535903,Sangareddy,,,,https://ellenkicet.ac.in/,,,,,,
,,,Eluru College Of Engineering,C369,,,,,,28,Andhra Pradesh,546,West Godavari,,,,,,,,,,
,,,Federal Institute of Science and Technology ,C297,,Affiliated,,,,32,Kerala,595,Ernakulam,,Ernakulum,Kerala,https://fisat.ac.in/,,,,,,
124,GNTW,,G Narayanamma Institute of Technology & Science for Women,C124,,Affiliated,ENGINEERING_COLLEGE,,,36,Telangana,536,Ranga Reddy,,,,https://old.gnits.ac.in/,,,,,,
44,PCEK,,G Pullaiah College of Engineering & Technology,C044,,Affiliated,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,552,Kurnool,,,,https://www.gpcet.ac.in/,,,,,,
26,GPRE,,G. Pulla Reddy Engineering College,C026,,Autonomous,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,553,Anantapur,,,,https://www.gprec.ac.in/,,,,,,
,,,Galgotias University,C505,,,,,,9,Uttar Pradesh,141,Gautam Buddha Nagar,,,,https://www.galgotiasuniversity.edu.in/,,,,,,
267,GNPT,,Ganapathy Engineering College,C267,,Affiliated,ENGINEERING_COLLEGE,,,36,Telengana,540918,Warangal Rural,,,,www.ganapathyeng.org,,,,,,
,,,Gandhi Engineering College,C487,,Autonomous,,,,21,Odisha,386,Khordha,,,,https://www.gec.edu.in/,,,,,,
241,GATE,,Gates Institute of Technology,C241,,Autonomous,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,553,Anantapur,,,,https://gatesit.ac.in/,,,,,,
165,GVPE,,Gayathri Vidya Parishad (GVP) College of Engineering,C165,,Autonomous,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,544,Visakhapatnam,,,,https://www.gvpce.ac.in/,,,,,,
227,GDMM,,GDMM College of Engineering & Technology,C227,,Affiliated,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,547,Krishna,,,,,,,,,,
125,GCTC,,Geethanjali College of Engineering & Technology,C125,,Autonomous,ENGINEERING_COLLEGE,,,36,Telangana,537917,Medchal,,,,https://www.geethanjaliinstitutions.com/engineering/,,,,,,
,,,Geethanjali College of Engineering and Technology,C448,,Private University,,,,36,Telangana,537917,Medchal,,,,geethanjaliinstitutions.com,,,,T,,
236,GTNN,,Geethanjali Institute of Science & Technology,C236,,Autonomous,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,550,Nellore,,,,https://gist.edu.in/,,,,,,
129,GIET,,GIET College of Engineering,C129,,Autonomous,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,545,East Godavari,,,,https://giet.ac.in/,,,,,,
128,GITE,,GIET Engineering College,C128,,Autonomous,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,545,East Godavari,,,,https://www.gietec.ac.in/,,,,,,
,,,GITAM University Hyderabad ,C379,,,,,,36,Telengana,0,,,,,,,,,,,
,,,"GITAM University, Vizag",C314,,University,,,,28,Andhra Pradesh,544,Visakhapatnam,,,,https://www.gitam.edu/,,,,,,
257,GLOB,,Global Institute of Engineering & Technology,C257,,Autonomous,ENGINEERING_COLLEGE,,,36,Telengana,536,Ranga Reddy,,,,https://www.globalhyd.edu.in/,,,,,,
130,GMRI,,GMR Institute of Technology (GMRIT),C130,,Autonomous,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,543,Vizianagaram,,,,https://gmrit.edu.in/,,,,,,
,,,Godavari Global University (GGU),C315,,University,,,,28,Andhra Pradesh,545,East Godavari,,,,https://ggu.edu.in/,,,,,,
127,GIER,,Godavari Institute of Engineering and Technology,C127,,Autonomous,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,545,East Godavari,,,,https://giet.ac.in/,,,,,,
245,GRRR,,Gokaraju Rangaraju Institute of Engineering & Technology,C245,,Affiliated,ENGINEERING_COLLEGE,,,36,Telengana,536,Ranga Reddy,,,,https://www.griet.ac.in/,,,,,,
