state_code,State,district_code,name,Town Code,Town Name,,,,,,,,,,,,,,,,,,,,
10,Bihar,232,Buxar,801390,Dumraon,,,,,,,,,,,,,,,,,,,,
10,Bihar,215,Darbhanga,801320,Benipur,,,,,,,,,,,,,,,,,,,,
10,Bihar,215,Darbhanga,801319,Darbhanga,,,,,,,,,,,,,,,,,,,,
10,Bihar,236,Gaya,801406,Bodh Gaya,,,,,,,,,,,,,,,,,,,,
10,Bihar,236,Gaya,801404,Gaya,,,,,,,,,,,,,,,,,,,,
10,Bihar,236,Gaya,801405,Sherghati,,,,,,,,,,,,,,,,,,,,
10,Bihar,236,Gaya,801403,Tikari,,,,,,,,,,,,,,,,,,,,
10,Bihar,217,Gopalganj,801328,Barauli,,,,,,,,,,,,,,,,,,,,
10,Bihar,217,Gopalganj,801327,Gopalganj,,,,,,,,,,,,,,,,,,,,
10,Bihar,217,Gopalganj,801325,Kataiya,,,,,,,,,,,,,,,,,,,,
10,Bihar,217,Gopalganj,801326,Mirganj,,,,,,,,,,,,,,,,,,,,
10,Bihar,238,Jamui,801411,Jamui,,,,,,,,,,,,,,,,,,,,
10,Bihar,238,Jamui,801412,Jhajha,,,,,,,,,,,,,,,,,,,,
10,Bihar,239,Jehanabad,801413,Jehanabad,,,,,,,,,,,,,,,,,,,,
10,Bihar,239,Jehanabad,801414,Makhdumpur,,,,,,,,,,,,,,,,,,,,
10,Bihar,233,Kaimur Bhabua,801392,Bhabua,,,,,,,,,,,,,,,,,,,,
10,Bihar,233,Kaimur Bhabua,249311,Mohania,,,,,,,,,,,,,,,,,,,,
10,Bihar,212,Katihar,801314,Katihar,,,,,,,,,,,,,,,,,,,,
10,Bihar,212,Katihar,801315,Manihari,,,,,,,,,,,,,,,,,,,,
10,Bihar,223,Khagaria,801350,Gogri Jamalpur,,,,,,,,,,,,,,,,,,,,
